,id,loc,correct_location
0,1.395719066103464e+18,"Ile-de-France, France","Ile-Delaware, United States of America-France, France"
1,1.3974488647942963e+18,France,France
2,1.399296127661396e+18,Hell,
3,1.4022000099871662e+18,Belgique,Belgique
4,1.4022050708344218e+18,"Grenoble, France","Grenoble, France"
5,1.4050491292403466e+18,"Aspach-le-Haut, France","Aspach-le-Haut, France"
6,1.4050848120466555e+18,Bretagne,Bretagne
7,1.4051410129856184e+18,Paris,Paris
8,1.4054908199105823e+18,Bretagne,Bretagne
9,1.40581205651592e+18,Belgique,Belgique
10,1.4072960086488596e+18,"Ile-de-France, France","Ile-Delaware, United States of America-France, France"
11,1.4083866562568602e+18,"Savoie, Rhône-Alpes","Savoie, Rhône-Alpes"
12,1.408406623886971e+18,Earth,
13,1.409859274877059e+18,"Paris, France","Paris, France"
14,1.4113283206592348e+18,"Mulhouse, France","Mulhouse, France"
15,1.412079746050052e+18,"Savoie, Rhône-Alpes","Savoie, Rhône-Alpes"
16,1.4130771040785613e+18,"Savoie, Rhône-Alpes","Savoie, Rhône-Alpes"
17,1.4131341807756124e+18,France,France
18,1.413469413030994e+18,Hell,
19,1.4144806124135588e+18,"Paris, France","Paris, France"
20,1.417765840083112e+18,France,France
21,1.4181713547304428e+18,Applecake & Earl Grey Tea,Applecake & Earl Grey Tea
22,1.4195894742296576e+18,France,France
23,1.419907457938346e+18,Draveil,Draveil
24,1.419984974141436e+18,"Paris 11, France","Paris 11, France"
25,1.42184769203311e+18,"Ile-de-France, France","Ile-Delaware, United States of America-France, France"
26,1.422138207316099e+18,"Zug, Switzerland","Zug, Switzerland"
27,1.4229464812801024e+18,"Achères, France","Achères, France"
28,1.4305220630564209e+18,Draveil,Draveil
29,1.4309145045531156e+18,Paradis ,Paradis 
30,1.4312745321579397e+18,Narbonne,Narbonne
31,1.4322886331810652e+18,"Marseille, France","Marseille, France"
32,1.43248300286976e+18,FRANCE,FRANCE
33,1.4339006963828695e+18,France,France
34,1.4413272182531727e+18,"Marseille, France","Marseille, France"
35,1.4424732659146015e+18,"Aspach-le-Haut, France","Aspach-le-Haut, France"
36,1.4431361827628524e+18,"Ile-de-France, France","Ile-Delaware, United States of America-France, France"
37,1.44360323793288e+18,"Grenoble, France","Grenoble, France"
38,1.447495892576133e+18,"Grenoble, France","Grenoble, France"
39,1.448227777954685e+18,"Grenoble, France","Grenoble, France"
40,1.448248638183035e+18,"Rennes, France","Rennes, France"
41,1.451093284852486e+18,🇨🇵 🇷🇴,🇨🇵 🇷🇴
42,1.455572689515647e+18,"Ile-de-France, France","Ile-Delaware, United States of America-France, France"
43,1.4555763753566904e+18,"Rennes, France","Rennes, France"
44,1.4557981956032676e+18,France,France
45,1.455911209530794e+18,En perpetuelle suspension,En perpetuelle suspension
46,1.4561840102044058e+18,"Aspach-le-Haut, France","Aspach-le-Haut, France"
47,1.457986687808725e+18,"Paris, France","Paris, France"
48,1.4580065675934188e+18,"Paris, France","Paris, France"
49,1.4580198599467786e+18,"Paris, France","Paris, France"
50,1.4580416949606195e+18,"Paris, France","Paris, France"
51,1.4580687003770962e+18,France,France
52,1.458742933134393e+18,France,France
53,1.460247896352301e+18,FRANCE,FRANCE
54,1.4602787433819832e+18,Sudiste en Heulaland 🇨🇵,Sudiste en Heulaland 🇨🇵
55,1.460653767012008e+18,Paris,Paris
56,1.460899466001662e+18,"Perpignan, France","Perpignan, France"
57,1.460918637733331e+18,"Aspach-le-Haut, France","Aspach-le-Haut, France"
